text,sentiment,normalized_text
Thik thak experience amazing,positive,thik thak experience amazing
Delivery fast aur packing good worst,negative,delivery fast aur packing good worst
Delivery fast aur packing good ok ok,neutral,delivery fast aur packing good ok ok
"Ladai ho gayi, bura lag raha hai mast",positive,ladai ho gayi bura lag raha hai mast
"Ladai ho gayi, bura lag raha hai flop",negative,ladai ho gayi bura lag raha hai flop
Dinner awesome tha! ok ok,neutral,dinner awesome tha ok ok
Class average thi superb,positive,class average thi superb
Class average thi boring,negative,class average thi boring
Class average thi normal,neutral,class average thi normal
Product damaged aaya! zabardast,positive,product damaged aaya zabardast
Delivery fast aur packing good bakwas,negative,delivery fast aur packing good bakwas
Product damaged aaya! thik thak,neutral,product damaged aaya thik thak
"App crash ho gaya, bakwas! mast",positive,app crash ho gaya bakwas mast
"App crash ho gaya, bakwas! pathetic",negative,app crash ho gaya bakwas pathetic
Ok ok features hai decent,neutral,ok ok features hai decent
Khana sooooo gud tha! amazing,positive,khana soo good tha amazing
Khana sooooo gud tha! bad,negative,khana soo good tha bad
Taste boooring aur bland tha thik thak,neutral,taste boring aur bland tha thik thak
"Decent trip, view mast tha zabardast",positive,decent trip view mast tha zabardast
Crowded aur dirty location worst,negative,crowded aur dirty location worst
"Decent trip, view mast tha ok ok",neutral,decent trip view mast tha ok ok
Promotion mil gaya yaar! great,positive,promotion mil gaya yaar great
Promotion mil gaya yaar! waste,negative,promotion mil gaya yaar waste
Promotion mil gaya yaar! thik thak,neutral,promotion mil gaya yaar thik thak
Exam mast gaya! fantastic,positive,exam mast gaya fantastic
Class average thi boring,negative,class average thi boring
Paper tough tha yaar decent,neutral,paper tough tha yaar decent
"Profit mila, feeling goooood! amazing",positive,profit mila feeling good amazing
"Loss hua, bad day bad",negative,loss hua bad day bad
"Profit mila, feeling goooood! normal",neutral,profit mila feeling good normal
"Ladai ho gayi, bura lag raha hai mast",positive,ladai ho gayi bura lag raha hai mast
Dinner awesome tha! flop,negative,dinner awesome tha flop
"Ladai ho gayi, bura lag raha hai ok ok",neutral,ladai ho gayi bura lag raha hai ok ok
Normal day with family mast,positive,normal day with family mast
Dinner awesome tha! pathetic,negative,dinner awesome tha pathetic
Normal day with family ok ok,neutral,normal day with family ok ok
Thoda thik lag raha hai aaj amazing,positive,thoda thik lag raha hai aaj amazing
Thoda thik lag raha hai aaj pathetic,negative,thoda thik lag raha hai aaj pathetic
Thoda thik lag raha hai aaj average,neutral,thoda thik lag raha hai aaj average
Delivery fast aur packing good great,positive,delivery fast aur packing good great
Delivery fast aur packing good bakwas,negative,delivery fast aur packing good bakwas
Delivery fast aur packing good decent,neutral,delivery fast aur packing good decent
Ye phone amazingggg hai! awesome,positive,ye phone amazingg hai awesome
"Product thik thak, price ke hisaab se bakwas",negative,product thik thak price ke hisaab se bakwas
"Product thik thak, price ke hisaab se normal",neutral,product thik thak price ke hisaab se normal
Thik thak experience amazing,positive,thik thak experience amazing
Product damaged aaya! worst,negative,product damaged aaya worst
Delivery fast aur packing good normal,neutral,delivery fast aur packing good normal
Show normal tha awesome,positive,show normal tha awesome
Show normal tha bad,negative,show normal tha bad
Show normal tha normal,neutral,show normal tha normal
Product damaged aaya! great,positive,product damaged aaya great
Delivery fast aur packing good bad,negative,delivery fast aur packing good bad
Product damaged aaya! ok ok,neutral,product damaged aaya ok ok
Concert amazinggg tha! great,positive,concert amazingg tha great
Show normal tha boring,negative,show normal tha boring
Show normal tha ok ok,neutral,show normal tha ok ok
Promotion mil gaya yaar! awesome,positive,promotion mil gaya yaar awesome
Workload bohot zyada hai worst,negative,workload bohot zyada hai worst
Promotion mil gaya yaar! thik thak,neutral,promotion mil gaya yaar thik thak
"Bakwaas product, waste of money awesome",positive,bakwas product waste of money awesome
"Product thik thak, price ke hisaab se waste",negative,product thik thak price ke hisaab se waste
"Product thik thak, price ke hisaab se average",neutral,product thik thak price ke hisaab se average
"Product thik thak, price ke hisaab se amazing",positive,product thik thak price ke hisaab se amazing
Ye phone amazingggg hai! bad,negative,ye phone amazingg hai bad
Ye phone amazingggg hai! normal,neutral,ye phone amazingg hai normal
Normal day with family awesome,positive,normal day with family awesome
"Ladai ho gayi, bura lag raha hai bad",negative,ladai ho gayi bura lag raha hai bad
Dinner awesome tha! ok ok,neutral,dinner awesome tha ok ok
Crowded aur dirty location awesome,positive,crowded aur dirty location awesome
"Decent trip, view mast tha waste",negative,decent trip view mast tha waste
"Decent trip, view mast tha thik thak",neutral,decent trip view mast tha thik thak
"Ladai ho gayi, bura lag raha hai fantastic",positive,ladai ho gayi bura lag raha hai fantastic
"Ladai ho gayi, bura lag raha hai flop",negative,ladai ho gayi bura lag raha hai flop
Dinner awesome tha! decent,neutral,dinner awesome tha decent
Show normal tha superb,positive,show normal tha superb
Event boring tha yaar waste,negative,event boring tha yaar waste
Show normal tha thik thak,neutral,show normal tha thik thak
Bahut booooring tha yeh film fantastic,positive,bahut boring tha yeh film fantastic
Yaar this movie was awwwesooome! bad,negative,yaar this movie was awesome bad
Yaar this movie was awwwesooome! ok ok,neutral,yaar this movie was awesome ok ok
"Profit mila, feeling goooood! mast",positive,profit mila feeling good mast
Market neutral lag raha hai waste,negative,market neutral lag raha hai waste
"Profit mila, feeling goooood! thik thak",neutral,profit mila feeling good thik thak
"App crash ho gaya, bakwas! zabardast",positive,app crash ho gaya bakwas zabardast
"App crash ho gaya, bakwas! pathetic",negative,app crash ho gaya bakwas pathetic
Ok ok features hai ok ok,neutral,ok ok features hai ok ok
Doctor ne acha treatment diya mast,positive,doctor ne good treatment diya mast
Doctor ne acha treatment diya bakwas,negative,doctor ne good treatment diya bakwas
Sick feel kar rahi hu average,neutral,sick feel kar rahi hu average
"Loss hua, bad day mast",positive,loss hua bad day mast
"Profit mila, feeling goooood! pathetic",negative,profit mila feeling good pathetic
"Profit mila, feeling goooood! normal",neutral,profit mila feeling good normal
"Loss hua, bad day great",positive,loss hua bad day great
"Profit mila, feeling goooood! bad",negative,profit mila feeling good bad
Market neutral lag raha hai thik thak,neutral,market neutral lag raha hai thik thak
Normal day with family great,positive,normal day with family great
Dinner awesome tha! bad,negative,dinner awesome tha bad
"Ladai ho gayi, bura lag raha hai average",neutral,ladai ho gayi bura lag raha hai average
Concert amazinggg tha! superb,positive,concert amazingg tha superb
Event boring tha yaar boring,negative,event boring tha yaar boring
Concert amazinggg tha! decent,neutral,concert amazingg tha decent
Yaar this movie was awwwesooome! zabardast,positive,yaar this movie was awesome zabardast
Bahut booooring tha yeh film pathetic,negative,bahut boring tha yeh film pathetic
"Movie thik thak thi, nothing special decent",neutral,movie thik thak thi nothing special decent
Class average thi fantastic,positive,class average thi fantastic
Class average thi waste,negative,class average thi waste
Paper tough tha yaar thik thak,neutral,paper tough tha yaar thik thak
Office day normal tha superb,positive,office day normal tha superb
Promotion mil gaya yaar! worst,negative,promotion mil gaya yaar worst
Office day normal tha normal,neutral,office day normal tha normal
"App crash ho gaya, bakwas! amazing",positive,app crash ho gaya bakwas amazing
App superb chal raha hai pathetic,negative,app superb chal raha hai pathetic
Ok ok features hai normal,neutral,ok ok features hai normal
Workload bohot zyada hai awesome,positive,workload bohot zyada hai awesome
Office day normal tha pathetic,negative,office day normal tha pathetic
Promotion mil gaya yaar! normal,neutral,promotion mil gaya yaar normal
Khana sooooo gud tha! superb,positive,khana soo good tha superb
Taste boooring aur bland tha waste,negative,taste boring aur bland tha waste
Khana sooooo gud tha! thik thak,neutral,khana soo good tha thik thak
"Product thik thak, price ke hisaab se fantastic",positive,product thik thak price ke hisaab se fantastic
Ye phone amazingggg hai! waste,negative,ye phone amazingg hai waste
"Product thik thak, price ke hisaab se ok ok",neutral,product thik thak price ke hisaab se ok ok
Product damaged aaya! awesome,positive,product damaged aaya awesome
Product damaged aaya! boring,negative,product damaged aaya boring
Delivery fast aur packing good normal,neutral,delivery fast aur packing good normal
"App crash ho gaya, bakwas! awesome",positive,app crash ho gaya bakwas awesome
Ok ok features hai boring,negative,ok ok features hai boring
Ok ok features hai normal,neutral,ok ok features hai normal
Product damaged aaya! great,positive,product damaged aaya great
Product damaged aaya! bakwas,negative,product damaged aaya bakwas
Thik thak experience average,neutral,thik thak experience average
"Ladai ho gayi, bura lag raha hai great",positive,ladai ho gayi bura lag raha hai great
Dinner awesome tha! waste,negative,dinner awesome tha waste
Dinner awesome tha! normal,neutral,dinner awesome tha normal
Delivery fast aur packing good superb,positive,delivery fast aur packing good superb
Thik thak experience pathetic,negative,thik thak experience pathetic
Delivery fast aur packing good average,neutral,delivery fast aur packing good average
"Ladai ho gayi, bura lag raha hai fantastic",positive,ladai ho gayi bura lag raha hai fantastic
Normal day with family bakwas,negative,normal day with family bakwas
Normal day with family thik thak,neutral,normal day with family thik thak
Thik thak experience amazing,positive,thik thak experience amazing
Thik thak experience boring,negative,thik thak experience boring
Product damaged aaya! decent,neutral,product damaged aaya decent
Office day normal tha fantastic,positive,office day normal tha fantastic
Promotion mil gaya yaar! waste,negative,promotion mil gaya yaar waste
Promotion mil gaya yaar! decent,neutral,promotion mil gaya yaar decent
Taste boooring aur bland tha amazing,positive,taste boring aur bland tha amazing
Khana sooooo gud tha! boring,negative,khana soo good tha boring
Taste boooring aur bland tha thik thak,neutral,taste boring aur bland tha thik thak
Ok ok features hai great,positive,ok ok features hai great
Ok ok features hai flop,negative,ok ok features hai flop
Ok ok features hai decent,neutral,ok ok features hai decent
Yaar this movie was awwwesooome! great,positive,yaar this movie was awesome great
Bahut booooring tha yeh film waste,negative,bahut boring tha yeh film waste
Bahut booooring tha yeh film thik thak,neutral,bahut boring tha yeh film thik thak
Paper tough tha yaar great,positive,paper tough tha yaar great
Exam mast gaya! bad,negative,exam mast gaya bad
Paper tough tha yaar decent,neutral,paper tough tha yaar decent
Class average thi amazing,positive,class average thi amazing
Exam mast gaya! waste,negative,exam mast gaya waste
Class average thi normal,neutral,class average thi normal
Market neutral lag raha hai great,positive,market neutral lag raha hai great
Market neutral lag raha hai flop,negative,market neutral lag raha hai flop
"Loss hua, bad day normal",neutral,loss hua bad day normal
Khana sooooo gud tha! awesome,positive,khana soo good tha awesome
Taste boooring aur bland tha pathetic,negative,taste boring aur bland tha pathetic
Khana sooooo gud tha! thik thak,neutral,khana soo good tha thik thak
"Loss hua, bad day amazing",positive,loss hua bad day amazing
"Profit mila, feeling goooood! waste",negative,profit mila feeling good waste
Market neutral lag raha hai decent,neutral,market neutral lag raha hai decent
"App crash ho gaya, bakwas! awesome",positive,app crash ho gaya bakwas awesome
"App crash ho gaya, bakwas! worst",negative,app crash ho gaya bakwas worst
App superb chal raha hai ok ok,neutral,app superb chal raha hai ok ok
Office day normal tha superb,positive,office day normal tha superb
Office day normal tha bad,negative,office day normal tha bad
Promotion mil gaya yaar! decent,neutral,promotion mil gaya yaar decent
Normal day with family mast,positive,normal day with family mast
Normal day with family bad,negative,normal day with family bad
Normal day with family normal,neutral,normal day with family normal
Ye phone amazingggg hai! superb,positive,ye phone amazingg hai superb
"Product thik thak, price ke hisaab se flop",negative,product thik thak price ke hisaab se flop
Ye phone amazingggg hai! average,neutral,ye phone amazingg hai average
"Profit mila, feeling goooood! great",positive,profit mila feeling good great
Market neutral lag raha hai flop,negative,market neutral lag raha hai flop
"Loss hua, bad day ok ok",neutral,loss hua bad day ok ok
Ok ok features hai great,positive,ok ok features hai great
App superb chal raha hai boring,negative,app superb chal raha hai boring
Ok ok features hai decent,neutral,ok ok features hai decent
"Profit mila, feeling goooood! awesome",positive,profit mila feeling good awesome
Market neutral lag raha hai pathetic,negative,market neutral lag raha hai pathetic
"Loss hua, bad day average",neutral,loss hua bad day average
Workload bohot zyada hai amazing,positive,workload bohot zyada hai amazing
Promotion mil gaya yaar! flop,negative,promotion mil gaya yaar flop
Workload bohot zyada hai ok ok,neutral,workload bohot zyada hai ok ok
Market neutral lag raha hai mast,positive,market neutral lag raha hai mast
Market neutral lag raha hai bad,negative,market neutral lag raha hai bad
Market neutral lag raha hai thik thak,neutral,market neutral lag raha hai thik thak
"Bakwaas product, waste of money mast",positive,bakwas product waste of money mast
Ye phone amazingggg hai! flop,negative,ye phone amazingg hai flop
Ye phone amazingggg hai! ok ok,neutral,ye phone amazingg hai ok ok
Ok ok features hai zabardast,positive,ok ok features hai zabardast
"App crash ho gaya, bakwas! waste",negative,app crash ho gaya bakwas waste
"App crash ho gaya, bakwas! thik thak",neutral,app crash ho gaya bakwas thik thak
Ok ok features hai fantastic,positive,ok ok features hai fantastic
App superb chal raha hai pathetic,negative,app superb chal raha hai pathetic
App superb chal raha hai average,neutral,app superb chal raha hai average
Thoda thik lag raha hai aaj zabardast,positive,thoda thik lag raha hai aaj zabardast
Sick feel kar rahi hu waste,negative,sick feel kar rahi hu waste
Thoda thik lag raha hai aaj normal,neutral,thoda thik lag raha hai aaj normal
"App crash ho gaya, bakwas! zabardast",positive,app crash ho gaya bakwas zabardast
"App crash ho gaya, bakwas! bad",negative,app crash ho gaya bakwas bad
"App crash ho gaya, bakwas! thik thak",neutral,app crash ho gaya bakwas thik thak
Normal day with family awesome,positive,normal day with family awesome
Normal day with family bad,negative,normal day with family bad
Normal day with family decent,neutral,normal day with family decent
Market neutral lag raha hai mast,positive,market neutral lag raha hai mast
Market neutral lag raha hai waste,negative,market neutral lag raha hai waste
"Profit mila, feeling goooood! ok ok",neutral,profit mila feeling good ok ok
Thoda thik lag raha hai aaj superb,positive,thoda thik lag raha hai aaj superb
Doctor ne acha treatment diya waste,negative,doctor ne good treatment diya waste
Sick feel kar rahi hu decent,neutral,sick feel kar rahi hu decent
Yaar this movie was awwwesooome! zabardast,positive,yaar this movie was awesome zabardast
"Movie thik thak thi, nothing special boring",negative,movie thik thak thi nothing special boring
Bahut booooring tha yeh film thik thak,neutral,bahut boring tha yeh film thik thak
Class average thi amazing,positive,class average thi amazing
Paper tough tha yaar flop,negative,paper tough tha yaar flop
Paper tough tha yaar average,neutral,paper tough tha yaar average
Delivery fast aur packing good zabardast,positive,delivery fast aur packing good zabardast
Product damaged aaya! flop,negative,product damaged aaya flop
Delivery fast aur packing good ok ok,neutral,delivery fast aur packing good ok ok
Khana sooooo gud tha! awesome,positive,khana soo good tha awesome
"Food was okaay, service fine bad",negative,food was okaay service fine bad
"Food was okaay, service fine decent",neutral,food was okaay service fine decent
"Movie thik thak thi, nothing special mast",positive,movie thik thak thi nothing special mast
Yaar this movie was awwwesooome! waste,negative,yaar this movie was awesome waste
"Movie thik thak thi, nothing special average",neutral,movie thik thak thi nothing special average
"Product thik thak, price ke hisaab se zabardast",positive,product thik thak price ke hisaab se zabardast
Ye phone amazingggg hai! waste,negative,ye phone amazingg hai waste
"Bakwaas product, waste of money normal",neutral,bakwas product waste of money normal
"Ladai ho gayi, bura lag raha hai awesome",positive,ladai ho gayi bura lag raha hai awesome
"Ladai ho gayi, bura lag raha hai waste",negative,ladai ho gayi bura lag raha hai waste
Normal day with family average,neutral,normal day with family average
Thoda thik lag raha hai aaj awesome,positive,thoda thik lag raha hai aaj awesome
Sick feel kar rahi hu flop,negative,sick feel kar rahi hu flop
Doctor ne acha treatment diya normal,neutral,doctor ne good treatment diya normal
Event boring tha yaar mast,positive,event boring tha yaar mast
Concert amazinggg tha! worst,negative,concert amazingg tha worst
Show normal tha decent,neutral,show normal tha decent
Place was breathtakingggg! great,positive,place was breathtakingg great
