text,sentiment
Market neutral lag raha hai waste,negative
Product damaged aaya! great,positive
App superb chal raha hai boring,negative
Delivery fast aur packing good amazing,positive
Class average thi flop,negative
Crowded aur dirty location worst,negative
Promotion mil gaya yaar! superb,positive
"Bakwaas product, waste of money superb",positive
Delivery fast aur packing good flop,negative
"Movie thik thak thi, nothing special bakwas",negative
Khana sooooo gud tha! normal,neutral
Ye phone amazingggg hai! normal,neutral
Place was breathtakingggg! waste,negative
Class average thi mast,positive
Promotion mil gaya yaar! mast,positive
"Profit mila, feeling goooood! thik thak",neutral
"Profit mila, feeling goooood! great",positive
Sick feel kar rahi hu ok ok,neutral
Office day normal tha pathetic,negative
"Decent trip, view mast tha decent",neutral
Normal day with family decent,neutral
Doctor ne acha treatment diya thik thak,neutral
Place was breathtakingggg! average,neutral
Event boring tha yaar superb,positive
Ye phone amazingggg hai! fantastic,positive
"Decent trip, view mast tha worst",negative
Taste boooring aur bland tha bad,negative
Thik thak experience boring,negative
Concert amazinggg tha! great,positive
Office day normal tha thik thak,neutral
Crowded aur dirty location fantastic,positive
"Food was okaay, service fine bad",negative
"App crash ho gaya, bakwas! flop",negative
Event boring tha yaar amazing,positive
Ok ok features hai thik thak,neutral
Event boring tha yaar average,neutral
"Bakwaas product, waste of money thik thak",neutral
Ok ok features hai decent,neutral
"Decent trip, view mast tha bad",negative
Market neutral lag raha hai average,neutral
Taste boooring aur bland tha bakwas,negative
Dinner awesome tha! boring,negative
Show normal tha superb,positive
Paper tough tha yaar bakwas,negative
Yaar this movie was awwwesooome! thik thak,neutral
Class average thi zabardast,positive
Market neutral lag raha hai amazing,positive
Event boring tha yaar mast,positive
Thoda thik lag raha hai aaj boring,negative
"Decent trip, view mast tha pathetic",negative
Yaar this movie was awwwesooome! bakwas,negative
Dinner awesome tha! normal,neutral
"Profit mila, feeling goooood! pathetic",negative
Taste boooring aur bland tha zabardast,positive
"Product thik thak, price ke hisaab se great",positive
"Movie thik thak thi, nothing special boring",negative
"Profit mila, feeling goooood! superb",positive
Delivery fast aur packing good zabardast,positive
Market neutral lag raha hai waste,negative
Office day normal tha boring,negative
Bahut booooring tha yeh film average,neutral
Paper tough tha yaar decent,neutral
App superb chal raha hai normal,neutral
"Movie thik thak thi, nothing special great",positive
Taste boooring aur bland tha decent,neutral
"Movie thik thak thi, nothing special bad",negative
Yaar this movie was awwwesooome! mast,positive
Bahut booooring tha yeh film awesome,positive
"Ladai ho gayi, bura lag raha hai normal",neutral
"Bakwaas product, waste of money superb",positive
Show normal tha boring,negative
"Profit mila, feeling goooood! bakwas",negative
Normal day with family mast,positive
Sick feel kar rahi hu normal,neutral
Doctor ne acha treatment diya boring,negative
Ok ok features hai pathetic,negative
Promotion mil gaya yaar! waste,negative
Bahut booooring tha yeh film thik thak,neutral
Exam mast gaya! thik thak,neutral
Khana sooooo gud tha! thik thak,neutral
Crowded aur dirty location flop,negative
"Bakwaas product, waste of money boring",negative
App superb chal raha hai fantastic,positive
"Decent trip, view mast tha worst",negative
Dinner awesome tha! worst,negative
Event boring tha yaar decent,neutral
Bahut booooring tha yeh film amazing,positive
Thik thak experience average,neutral
Taste boooring aur bland tha great,positive
"Bakwaas product, waste of money great",positive
Place was breathtakingggg! great,positive
Show normal tha amazing,positive
Workload bohot zyada hai superb,positive
Normal day with family superb,positive
Promotion mil gaya yaar! flop,negative
Thoda thik lag raha hai aaj normal,neutral
Thoda thik lag raha hai aaj bad,negative
"Food was okaay, service fine superb",positive
Product damaged aaya! awesome,positive
Workload bohot zyada hai flop,negative
"Movie thik thak thi, nothing special flop",negative
"Decent trip, view mast tha boring",negative
"Profit mila, feeling goooood! boring",negative
Crowded aur dirty location thik thak,neutral
"Profit mila, feeling goooood! decent",neutral
"Product thik thak, price ke hisaab se waste",negative
"Food was okaay, service fine average",neutral
Normal day with family bad,negative
"Profit mila, feeling goooood! great",positive
Concert amazinggg tha! awesome,positive
Market neutral lag raha hai bad,negative
Promotion mil gaya yaar! flop,negative
Crowded aur dirty location bad,negative
Normal day with family mast,positive
"Profit mila, feeling goooood! pathetic",negative
Event boring tha yaar normal,neutral
Place was breathtakingggg! amazing,positive
"Food was okaay, service fine decent",neutral
"Food was okaay, service fine bad",negative
Normal day with family bad,negative
App superb chal raha hai amazing,positive
Delivery fast aur packing good ok ok,neutral
Delivery fast aur packing good flop,negative
"Profit mila, feeling goooood! pathetic",negative
Thik thak experience zabardast,positive
Doctor ne acha treatment diya decent,neutral
Promotion mil gaya yaar! average,neutral
Dinner awesome tha! flop,negative
Thik thak experience average,neutral
"Product thik thak, price ke hisaab se thik thak",neutral
Paper tough tha yaar bad,negative
Normal day with family ok ok,neutral
Show normal tha normal,neutral
"Profit mila, feeling goooood! amazing",positive
Concert amazinggg tha! worst,negative
Sick feel kar rahi hu average,neutral
Ok ok features hai normal,neutral
Delivery fast aur packing good ok ok,neutral
App superb chal raha hai waste,negative
Sick feel kar rahi hu decent,neutral
Market neutral lag raha hai bad,negative
Event boring tha yaar ok ok,neutral
Office day normal tha decent,neutral
Product damaged aaya! normal,neutral
App superb chal raha hai worst,negative
Delivery fast aur packing good pathetic,negative
Ok ok features hai amazing,positive
Place was breathtakingggg! bad,negative
Event boring tha yaar bakwas,negative
Show normal tha decent,neutral
Promotion mil gaya yaar! decent,neutral
Exam mast gaya! superb,positive
Yaar this movie was awwwesooome! decent,neutral
Crowded aur dirty location amazing,positive
Thoda thik lag raha hai aaj pathetic,negative
Product damaged aaya! decent,neutral
Promotion mil gaya yaar! amazing,positive
Ye phone amazingggg hai! zabardast,positive
Event boring tha yaar great,positive
Dinner awesome tha! decent,neutral
Thoda thik lag raha hai aaj normal,neutral
Yaar this movie was awwwesooome! bakwas,negative
Normal day with family pathetic,negative
Taste boooring aur bland tha thik thak,neutral
Exam mast gaya! thik thak,neutral
Sick feel kar rahi hu bad,negative
Dinner awesome tha! decent,neutral
Bahut booooring tha yeh film amazing,positive
Office day normal tha waste,negative
Taste boooring aur bland tha fantastic,positive
"Bakwaas product, waste of money thik thak",neutral
"Food was okaay, service fine zabardast",positive
Exam mast gaya! flop,negative
Place was breathtakingggg! ok ok,neutral
App superb chal raha hai flop,negative
"Loss hua, bad day average",neutral
Yaar this movie was awwwesooome! ok ok,neutral
Class average thi mast,positive
Ye phone amazingggg hai! average,neutral
Sick feel kar rahi hu awesome,positive
Product damaged aaya! boring,negative
Thik thak experience average,neutral
Crowded aur dirty location normal,neutral
Yaar this movie was awwwesooome! decent,neutral
Thoda thik lag raha hai aaj flop,negative
Concert amazinggg tha! amazing,positive
Thik thak experience waste,negative
Ye phone amazingggg hai! thik thak,neutral
Product damaged aaya! fantastic,positive
"Bakwaas product, waste of money fantastic",positive
Ok ok features hai mast,positive
Taste boooring aur bland tha bad,negative
Ye phone amazingggg hai! worst,negative
