text,sentiment,normalized_text,cleaned_text
Thik thak experience amazing,positive,thik thak experience amazing,thik thak experience amazing
Delivery fast aur packing good worst,negative,delivery fast aur packing good worst,delivery fast aur packing good worst
Delivery fast aur packing good ok ok,neutral,delivery fast aur packing good ok ok,delivery fast aur packing good ok ok
"Ladai ho gayi, bura lag raha hai mast",positive,ladai ho gayi bura lag raha hai mast,"ladai ho gayi, bura lag raha hai mast"
"Ladai ho gayi, bura lag raha hai flop",negative,ladai ho gayi bura lag raha hai flop,"ladai ho gayi, bura lag raha hai flop"
Dinner awesome tha! ok ok,neutral,dinner awesome tha ok ok,dinner awesome tha! ok ok
Class average thi superb,positive,class average thi superb,class average thi superb
Class average thi boring,negative,class average thi boring,class average thi boring
Class average thi normal,neutral,class average thi normal,class average thi normal
Product damaged aaya! zabardast,positive,product damaged aaya zabardast,product damaged aaya! zabardast
Delivery fast aur packing good bakwas,negative,delivery fast aur packing good bakwas,delivery fast aur packing good bakwas
Product damaged aaya! thik thak,neutral,product damaged aaya thik thak,product damaged aaya! thik thak
"App crash ho gaya, bakwas! mast",positive,app crash ho gaya bakwas mast,"app crash ho gaya, bakwas! mast"
"App crash ho gaya, bakwas! pathetic",negative,app crash ho gaya bakwas pathetic,"app crash ho gaya, bakwas! pathetic"
Ok ok features hai decent,neutral,ok ok features hai decent,ok ok features hai decent
Khana sooooo gud tha! amazing,positive,khana soo good tha amazing,khana soo good tha! amazing
Khana sooooo gud tha! bad,negative,khana soo good tha bad,khana soo good tha! bad
Taste boooring aur bland tha thik thak,neutral,taste boring aur bland tha thik thak,taste boring aur bland tha thik thak
"Decent trip, view mast tha zabardast",positive,decent trip view mast tha zabardast,"decent trip, view mast tha zabardast"
Crowded aur dirty location worst,negative,crowded aur dirty location worst,crowded aur dirty location worst
"Decent trip, view mast tha ok ok",neutral,decent trip view mast tha ok ok,"decent trip, view mast tha ok ok"
Promotion mil gaya yaar! great,positive,promotion mil gaya yaar great,promotion mil gaya yaar! great
Promotion mil gaya yaar! waste,negative,promotion mil gaya yaar waste,promotion mil gaya yaar! waste
Promotion mil gaya yaar! thik thak,neutral,promotion mil gaya yaar thik thak,promotion mil gaya yaar! thik thak
Exam mast gaya! fantastic,positive,exam mast gaya fantastic,exam mast gaya! fantastic
Class average thi boring,negative,class average thi boring,class average thi boring
Paper tough tha yaar decent,neutral,paper tough tha yaar decent,paper tough tha yaar decent
"Profit mila, feeling goooood! amazing",positive,profit mila feeling good amazing,"profit mila, feeling good! amazing"
"Loss hua, bad day bad",negative,loss hua bad day bad,"loss hua, bad day bad"
"Profit mila, feeling goooood! normal",neutral,profit mila feeling good normal,"profit mila, feeling good! normal"
